created_timestamp,sens_1,sens_2,sens_4,sens_5
2021-07-05 00:00:24,31.0,58.0,0.0,32.0
2021-07-05 00:00:27,29.0,57.0,0.0,32.0
2021-07-05 00:00:30,29.0,58.0,0.0,32.0
2021-07-05 00:00:45,29.0,57.0,0.0,32.0
2021-07-05 00:00:48,29.0,58.0,0.0,32.0
2021-07-05 00:00:55,29.0,57.0,0.0,32.0
2021-07-05 00:00:59,29.0,58.0,0.0,32.0
2021-07-05 00:01:02,29.0,57.0,0.0,32.0
2021-07-05 00:01:05,29.0,58.0,0.0,32.0
2021-07-05 00:01:13,29.0,57.0,0.0,32.0
2021-07-05 00:01:16,29.0,58.0,0.0,32.0
2021-07-05 00:01:17,31.0,58.0,0.0,32.0
2021-07-05 00:01:20,31.0,57.0,0.0,32.0
2021-07-05 00:01:23,31.0,58.0,0.0,32.0
2021-07-05 00:01:25,29.0,58.0,0.0,32.0
2021-07-05 00:01:26,29.0,57.0,0.0,32.0
2021-07-05 00:01:33,29.0,58.0,0.0,32.0
2021-07-05 00:01:51,29.0,58.0,0.0,32.0
2021-07-05 00:01:54,29.0,57.0,0.0,32.0
2021-07-05 00:02:07,29.0,58.0,0.0,32.0
2021-07-05 00:02:15,29.0,57.0,0.0,32.0
2021-07-05 00:02:35,29.0,58.0,0.0,32.0
2021-07-05 00:02:43,29.0,57.0,0.0,32.0
2021-07-05 00:03:00,29.0,58.0,0.0,32.0
2021-07-05 00:03:03,29.0,57.0,0.0,32.0
2021-07-05 00:03:11,29.0,58.0,0.0,32.0
2021-07-05 00:03:13,29.0,57.0,0.0,32.0
2021-07-05 00:03:59,29.0,58.0,0.0,32.0
2021-07-05 00:04:02,29.0,57.0,0.0,32.0
2021-07-05 00:04:40,29.0,58.0,0.0,32.0
2021-07-05 00:04:43,29.0,57.0,0.0,32.0
2021-07-05 00:04:44,29.0,57.0,0.0,32.0
2021-07-05 00:05:39,29.0,56.0,0.0,32.0
2021-07-05 00:05:42,29.0,57.0,0.0,32.0
2021-07-05 00:06:45,29.0,56.0,0.0,32.0
2021-07-05 00:06:48,29.0,57.0,0.0,32.0
2021-07-05 00:07:08,29.0,56.0,0.0,32.0
2021-07-05 00:07:13,29.0,57.0,0.0,32.0
2021-07-05 00:07:20,31.0,57.0,0.0,32.0
2021-07-05 00:07:23,29.0,57.0,0.0,32.0
2021-07-05 00:08:56,29.0,56.0,0.0,32.0
2021-07-05 00:09:00,29.0,57.0,0.0,32.0
2021-07-05 00:09:16,29.0,56.0,0.0,32.0
2021-07-05 00:09:23,29.0,57.0,0.0,32.0
2021-07-05 00:09:31,29.0,56.0,0.0,32.0
2021-07-05 00:09:35,29.0,57.0,0.0,32.0
2021-07-05 00:09:44,29.0,56.0,0.0,32.0
2021-07-05 00:09:51,29.0,57.0,0.0,32.0
2021-07-05 00:09:54,29.0,56.0,0.0,32.0
2021-07-05 00:10:09,29.0,57.0,0.0,32.0
2021-07-05 00:10:12,29.0,56.0,0.0,32.0
2021-07-05 00:10:16,29.0,57.0,0.0,32.0
2021-07-05 00:10:19,29.0,56.0,0.0,32.0
2021-07-05 00:10:22,29.0,57.0,0.0,32.0
2021-07-05 00:10:35,29.0,56.0,0.0,32.0
2021-07-05 00:10:40,29.0,57.0,0.0,32.0
2021-07-05 00:10:48,29.0,56.0,0.0,32.0
2021-07-05 00:10:53,29.0,57.0,0.0,32.0
2021-07-05 00:10:57,29.0,56.0,0.0,32.0
2021-07-05 00:11:00,29.0,57.0,0.0,32.0
2021-07-05 00:11:06,29.0,56.0,0.0,32.0
2021-07-05 00:11:18,29.0,57.0,0.0,32.0
2021-07-05 00:11:21,29.0,56.0,0.0,32.0
2021-07-05 00:11:42,29.0,57.0,0.0,32.0
2021-07-05 00:11:46,29.0,56.0,0.0,32.0
2021-07-05 00:11:55,29.0,57.0,0.0,32.0
2021-07-05 00:11:59,29.0,56.0,0.0,32.0
2021-07-05 00:12:02,29.0,57.0,0.0,32.0
2021-07-05 00:12:06,29.0,56.0,0.0,32.0
2021-07-05 00:12:23,29.0,57.0,0.0,32.0
