created_timestamp,sens_2,sens_4,sens_5
2021-07-05 10:09:45,483.0,0.0,32.0
2021-07-05 05:29:00,38.0,0.0,32.0
2021-07-05 20:47:48,54.0,0.0,32.0
2021-07-05 06:18:06,36.0,0.0,32.0
2021-07-05 00:39:05,53.0,0.0,32.0
2021-07-05 17:16:24,485.0,0.0,32.0
2021-07-05 15:59:18,481.0,0.0,32.0
2021-07-10 08:31:47,420.0,2.0,32.0
2021-07-05 05:49:45,37.0,0.0,32.0
2021-07-10 17:40:37,420.0,0.0,32.0
2021-07-05 11:32:51,489.0,0.0,32.0
2021-07-05 05:15:19,39.0,0.0,32.0
2021-07-05 05:20:52,39.0,0.0,32.0
2021-07-10 08:48:03,420.0,0.0,32.0
2021-07-10 18:13:35,420.0,6.0,32.0
2021-07-05 16:03:28,483.0,0.0,32.0
2021-07-05 11:45:19,487.0,0.0,32.0
2021-07-05 10:08:17,482.0,0.0,32.0
2021-08-15 01:12:09,420.0,0.0,32.0
2021-07-10 21:22:40,420.0,1.0,32.0
2021-07-05 16:02:49,482.0,0.0,32.0
2021-08-15 01:43:31,420.0,0.0,32.0
2021-07-05 08:44:20,490.0,0.0,32.0
2021-07-10 10:58:26,420.0,1.0,32.0
2021-07-05 18:26:02,90.0,0.0,32.0
2021-07-10 10:01:12,420.0,1.0,32.0
2021-07-05 00:55:46,53.0,0.0,32.0
2021-07-10 22:07:35,420.0,0.0,32.0
2021-07-05 05:08:39,39.0,0.0,32.0
2021-07-05 06:58:21,487.0,0.0,32.0
2021-07-10 17:09:56,420.0,1.0,32.0
2021-07-05 21:21:13,52.0,0.0,32.0
2021-07-05 17:51:04,159.0,0.0,32.0
2021-07-05 00:57:03,52.0,0.0,32.0
2021-07-05 03:58:56,42.0,0.0,32.0
2021-07-05 02:03:35,47.0,0.0,32.0
2021-07-05 04:28:26,41.0,0.0,32.0
2021-07-05 06:43:45,494.0,0.0,32.0
2021-07-10 14:41:09,420.0,0.0,32.0
2021-07-05 01:40:36,49.0,0.0,32.0
2021-07-05 02:53:26,44.0,0.0,32.0
2021-07-10 07:53:13,420.0,0.0,32.0
2021-08-15 00:12:44,420.0,1.0,32.0
2021-07-05 11:42:16,487.0,0.0,32.0
2021-07-05 10:47:51,493.0,0.0,32.0
